id,name
MLA5725,Accesorios para Vehículos
MLA1403,Alimentos y Bebidas
MLA1071,Animales y Mascotas
MLA1367,Antigüedades
MLA1368,Arte y Artesanías
MLA1743,"Autos, Motos y Otros"
MLA1384,Bebés
MLA1039,Cámaras y Accesorios
MLA1051,Celulares y Teléfonos
MLA1798,Coleccionables y Hobbies
MLA1648,Computación
MLA1144,Consolas y Videojuegos
MLA1276,Deportes y Fitness
MLA5726,Electrodomésticos y Aires Ac.
MLA1000,"Electrónica, Audio y Video"
MLA2547,Entradas para Eventos
MLA1574,"Hogar, Muebles y Jardín"
MLA1499,Industrias y Oficinas
MLA1459,Inmuebles
MLA1182,Instrumentos Musicales
MLA3937,Joyas y Relojes
MLA1132,Juegos y Juguetes
MLA3025,"Libros, Revistas y Comics"
MLA1168,"Música, Películas y Series"
MLA1430,Ropa y Accesorios
MLA1246,Salud y Belleza
MLA1540,Servicios
MLA1953,Otras categorías
